Building graph from scratch...
conv1_1 [ 3  3  3 64]
conv1_2 [ 3  3 64 64]
conv2_1 [  3   3  64 128]
conv2_2 [  3   3 128 128]
conv3_1 [  3   3 128 256]
conv3_2 [  3   3 256 256]
conv3_3 [  3   3 256 256]
conv4_1 [  3   3 256 512]
conv4_2 [  3   3 512 512]
conv4_3 [  3   3 512 512]
conv5_1 [  3   3 512 512]
conv5_2 [  3   3 512 512]
conv5_3 [  3   3 512 512]
train score:1.77961039543, test score:1.72948741913
train score:1.79875862598, test score:1.80978631973
train score:1.72945773602, test score:1.83318841457
train score:1.8534681797, test score:1.92689871788
train score:1.7886339426, test score:1.85247349739
train score:1.82912290096, test score:1.7753765583
train score:1.73628163338, test score:1.79612767696
train score:1.81551933289, test score:1.88328695297
train score:1.83261871338, test score:1.74814748764
train score:1.81453156471, test score:1.96096110344
train score:1.86199736595, test score:1.94478559494
train score:1.81022107601, test score:1.83185887337
train score:1.66897821426, test score:1.86311936378
train score:1.75144588947, test score:1.82885026932
train score:1.84119462967, test score:1.82402658463
train score:1.81167376041, test score:1.75277137756
train score:1.87718427181, test score:1.80921030045
train score:1.75560414791, test score:1.86529409885
train score:1.88207745552, test score:1.95830333233
train score:1.82664394379, test score:1.80113530159
train score:1.89176738262, test score:1.85786604881
train score:1.83619344234, test score:1.86333918571
train score:1.71516358852, test score:1.71229219437
train score:1.79741168022, test score:1.82199645042
train score:1.74673962593, test score:1.88346338272
train score:1.78729021549, test score:1.95883202553
train score:1.83154726028, test score:1.82119250298
train score:1.94103717804, test score:1.72516083717
train score:1.93702030182, test score:1.71526277065
train score:1.69837296009, test score:1.79536914825
train score:1.79003047943, test score:1.79319691658
train score:1.88821649551, test score:1.84560883045
train score:1.78590857983, test score:1.78828752041
train score:1.91531014442, test score:1.82765066624
train score:1.82397484779, test score:1.8376595974
train score:1.90652155876, test score:1.77696764469
train score:1.81919312477, test score:1.73432540894
