counts,log_counts,n_boxes,pixels_above
1.0,0.69314718056,1,931.0
2.0,1.09861228867,5,1716.0
3.0,1.38629436112,6,2731.0
2.0,1.09861228867,3,3163.0
2.0,1.09861228867,5,2606.0
0.0,0.0,2,750.0
2.0,1.09861228867,6,3367.0
1.0,0.69314718056,2,812.0
0.0,0.0,3,1043.0
1.0,0.69314718056,3,2934.0
3.0,1.38629436112,6,3443.0
4.0,1.60943791243,3,1656.0
5.0,1.79175946923,5,1273.0
1.0,0.69314718056,3,500.0
1.0,0.69314718056,3,2296.0
9.0,2.30258509299,6,5525.0
0.0,0.0,0,0.0
2.0,1.09861228867,3,1897.0
1.0,0.69314718056,4,2138.0
2.0,1.09861228867,1,689.0
1.0,0.69314718056,4,1564.0
4.0,1.60943791243,6,5304.0
1.0,0.69314718056,6,2825.0
2.0,1.09861228867,3,1163.0
2.0,1.09861228867,2,436.0
2.0,1.09861228867,6,2808.0
4.0,1.60943791243,6,5054.0
0.0,0.0,2,1545.0
0.0,0.0,2,372.0
1.0,0.69314718056,2,773.0
1.0,0.69314718056,5,2779.0
2.0,1.09861228867,3,1773.0
3.0,1.38629436112,5,2752.0
3.0,1.38629436112,6,4593.0
1.0,0.69314718056,2,1213.0
1.0,0.69314718056,6,4233.0
1.0,0.69314718056,5,3027.0
6.0,1.94591014906,6,5131.0
2.0,1.09861228867,5,1703.0
2.0,1.09861228867,5,1390.0
1.0,0.69314718056,2,742.0
0.0,0.0,3,312.0
4.0,1.60943791243,4,4153.0
4.0,1.60943791243,6,5504.0
5.0,1.79175946923,6,4657.0
3.0,1.38629436112,6,3815.0
1.0,0.69314718056,1,766.0
5.0,1.79175946923,6,5856.0
0.0,0.0,1,22.0
1.0,0.69314718056,1,482.0
4.0,1.60943791243,6,5336.0
1.0,0.69314718056,5,791.0
0.0,0.0,1,122.0
1.0,0.69314718056,2,74.0
6.0,1.94591014906,6,5102.0
1.0,0.69314718056,2,86.0
0.0,0.0,2,143.0
1.0,0.69314718056,1,514.0
1.0,0.69314718056,4,2127.0
1.0,0.69314718056,5,1096.0
1.0,0.69314718056,2,1398.0
5.0,1.79175946923,6,5434.0
0.0,0.0,3,940.0
2.0,1.09861228867,5,2417.0
9.0,2.30258509299,6,6058.0
3.0,1.38629436112,5,3834.0
0.0,0.0,3,274.0
0.0,0.0,1,1217.0
0.0,0.0,1,26.0
1.0,0.69314718056,3,2332.0
1.0,0.69314718056,2,1649.0
1.0,0.69314718056,3,233.0
2.0,1.09861228867,5,1834.0
1.0,0.69314718056,2,1065.0
1.0,0.69314718056,5,2709.0
0.0,0.0,0,0.0
0.0,0.0,1,120.0
0.0,0.0,1,31.0
0.0,0.0,1,33.0
5.0,1.79175946923,6,3985.0
3.0,1.38629436112,4,5679.0
0.0,0.0,1,124.0
1.0,0.69314718056,1,1132.0
